player_no,team_code,first_name,last_name,song,song_code
715,SF,Joey,Bart,"I Wrote The Book",s0715
716,SF,Tristan,Beck,"Pour Some Sugar On Me",s0716
717,SF,John,Brebbia,"Wake Me Up Before You Go",s0717
718,SF,Alex,Cobb,Intro,s0718
719,SF,Michael,Conforto,Thief,s0719
720,SF,Brandon,Crawford,"Still Here",s0720
721,SF,J.D.,Davis,"Lay Low",s0721
722,SF,Anthony,DeSclafani,"Gimme Shelter",s0722
723,SF,Isan,Diaz,"Rich Flex",s0723
724,SF,Camilo,Doval,Bailar,s0724
725,SF,Thairo,Estrada,"Despues de la Playa",s0725
726,SF,Wilmer,Flores,"I'll Be There For You",s0726
727,SF,Luis,Gonzalez,Satisfied,s0727
728,SF,Mitch,Haniger,"Since '84",s0728
729,SF,Sean,Hjelle,Bootylicious,s0729
730,SF,Luke,Jackson,"The Imperial March",s0730
731,SF,Bryce,Johnson,"Drop It Like It's Hot",s0731
732,SF,Jake,Junis,Levels,s0732
733,SF,Mauricio,Llovera,25/8,s0733
734,SF,Sean,Manaea,"Just the Two of Us",s0734
735,SF,Joc,Pederson,"I'm So Humble",s0735
736,SF,Roberto,Pérez,"Me Porto Bonito",s0736
737,SF,Ford,Proctor,"Out There",s0737
738,SF,Taylor,Rogers,"The Chain",s0738
739,SF,Tyler,Rogers,"Ain't No Rest for the Wicked",s0739
740,SF,Blake,Sabol,"The One",s0740
741,SF,Casey,Schmitt,"Gold Thangs & Pinky Rangs",s0741
742,SF,Austin,Slater,Loyal,s0742
743,SF,Ross,Stripling,"Like I Love You",s0743
744,SF,Thomas,Szapucki,"If You Want Blood (You've Got It)",s0744
745,SF,David,Villar,"Jumbotron Sh** Poppin",s0745
746,SF,Lamonte,"Wade Jr.","Had Enough",s0746
747,SF,Cole,Waites,"Holler From The Holler",s0747
748,SF,Ryan,Walker,"Neon Grave",s0748
749,SF,Logan,Webb,"Killer Whale",s0749
750,SF,Brett,Wisely,"Bright Side of Life",s0750
751,SF,Alex,Wood,Revenge,s0751
752,SF,Mike,Yastrzemski,"When the Levee Breaks",s0752
753,SEA,Matt,Brash,Fireman,s0753
754,SEA,Diego,Castillo,"Say Yes",s0754
755,SEA,J.P.,Crawford,"Around the World",s0755
756,SEA,Matthew,Festa,"Mambo Italiano (Trap Remix)",s0756
757,SEA,Chris,Flexen,"Check My Brain",s0757
758,SEA,Ty,France,""So Fresh, So Clean "",s0758
759,SEA,Logan,Gilbert,"Gangsta's Paradise",s0759
760,SEA,Marco,Gonzales,"Run This Town",s0760
