song_code,song_name,artist_name,artist2_name
s0319,"Comenzo La Fiesta","Anthony Santos",
s0142,"Coming In Hot",Lecrae,"Andy Mimeo"
s0336,"Coming Undone",Korn,
s0069,"Como te Pago",Lenier,
s0842,"Con Calma","Daddy Yankee",Snow
s0486,"Con Cotorra No","El Sujeto",
s0505,"Cooler than a Bitch",Gunna,
s0222,"Cooped Up / Return of the Mack","Post Malone",
s0425,"Corazon Culpaple","Anthony Santos",
s0682,"Cost To Be Alive","Lil Ba",
s0062,"Could You Be Loved","Bob Marley",
s0549,"Counting Stars",OneRepublic,
s0299,"Country Grammar",Nelly,
s0689,"Crank That","Soulja Boy",
s0102,"Crank That (Soulja Boy)","Soulja Boy",
s0816,Creere,"Tercer Cielo",
s0495,"Cut Me Up",Wacotron,
s0593,"Danza Kuduro","Don Omar",
s0167,"Dark Heart",Fly,
s0673,"De Donde Yo Sali","L Kimii","DJ Conds"
s0823,"De Kabra A Tiguere","Rochy RD","Dilon Ba"
s0472,De-Stress,Rebelution,
s0055,"Dead But Rising",Volbeat,
s0166,"Dead Man Walking","Jeremy Camp",
s0882,Deliverance,"Bubba Sparxxx",
s0634,Desahogo,Akim,
s0857,Desires,"Drake with Future",
s0783,Desperado,Rihanna,
s0725,"Después de la Playa","Bad Bunny",
s0218,"Di Di Di","Braulio Fogon","Don Forty Five"
s0301,"Diamonds From Sierra Leone","Kanye West",
s0776,Digits,"Young Thug",
s0829,Dinero,Harryson,"Yomel El Meloso"
s0433,"Dios Nunca Falla","Madiel Lara",
s0899,"Dirt On My Boots","Jon Pardi",
s0542,"Dixieland Delight",Alabama,
s0243,"Does To Me","Luke Combs",
s0462,"Doin' This","Luke Combs",
s0559,"Don't Play","Travis Scott",
s0217,"Down And Out",Tantric,
s0054,"Down In Atlanta","Travis Scott/Pharrell Williams",
s0778,"Dreamin Of The Past","Pusha T (feat. Kanye West)",
s0263,Drifter,"Hippie Sabotage",
s0731,"Drop It Like It's Hot","Snoop Dogg",
s0582,"Duffle Bag Boy","Playaz Circle","Lil Wayne"
s0532,Dura,"Daddy Yankee",
s0908,"Edge of Darkness","Great Van Fleet",
s0424,"Edge of Seventeen","Stevie Nicks",
s0535,"El Abayarde","Tego Calderón",
s0809,"El Cachanilla","El Coyote y su Banda Tierra Santa",
s0491,"El Centurión de la Noche","Joe Arroyo",
s0580,"El Cero","El Chulo",
s0024,"El Coba","Rochy RD",
s0331,"El Corrido De Mazatlan","Banda El Recodo de Cruz Lizarraga",
s0302,"El Duro","Don Omar","Kendo Kaponi"
s0421,"El Ganador","Nicky Jam",
s0507,"El Hokage","Eladio Carrion",
s0514,"El Incromprendido",Furruko,
s0794,"El Indio Enamorado","Grupo Laberinto",
s0877,"El Mechón","Banda MS de Sergio Lizárraga","Banda MS de Sergio Lizárraga"
s0521,"El Mundo Es Mio","Bad Bunny",
s0005,"El Toro de Jalisco","Clave 520",
s0675,"El Trote","Rochy RD",
s0446,"El Vecino","Dj Unic",
s0550,"Electric Feel",MGMT,
s0129,"Electric Worry",Clutch,
s0830,"Ella Baila Sola","Eslabon Armado","Peso Pluma"
s0835,Empaquetate,Donaty,
s0707,"Esa Muchacha","Los Hermanis Rosario",
s0266,"Esta Vida","Jorge Celedón","Jimmy Zambrano"
s0827,Estare,"Tercer Cielo",
s0770,Evenflow,"Pearl Jam",
s0694,"Every Chance I Get","DJ Khaled",Goldie
s0229,"Fair Trade",Drake,
s0154,Familia,"Santa Fe Klan",
s0439,"Family Ties",Ba,
s0633,Famous,"Kanye West",
s0236,"Famous Last Words","My Chemical Romance",
s0249,Farruko,Liberace,"Anuel AA"
s0292,"Fast As You","Dwight Yoakam",
s0812,Fearless,"Pink Floyd",
s0613,"Fed Up",Ghostmane,
s0871,"Feds Did a Sweep",Future,
