song_code,song_name,artist_name,artist2_name
s0377,"Sigo Siendo el Papá","Silvestre Dangond","Silvestre Dangond"
s0828,"Simple Man","Lynyrd Skynyrd",
s0728,"Since '84","Mac Dre",
s0278,Singapur,"El Alfa",
s0047,"Sittin Sidewayz","Paul Wall",
s0289,"Sleeping on the Blacktop","Colter Wall",
s0695,"So Many Tears",2Pac,
s0652,Socorro,"Jey One",
s0687,"Sol Soldado","Juan Luis Guerra 4.40",
s0208,Solid,Young,
s0337,Solo,Future,
s0098,"Solo Yo","Anuel AA",
s0667,"Soul Survivor (Clean Version)","Akon and Jeezy",
s0621,"South On Ya","Luke Combs",
s0590,"Southside Still Holdin",E.S.G.,
s0455,"Speak 4 Em","Moneybagg Yo",
s0224,"SpongeBob SquarePants Theme Song","Spongebob Squarepants",
s0844,"Spread The Opps",Lecrae,
s0839,"Square Dance",Eminem,
s0784,Stay,Stay,
s0219,"Stay Fly","Three 6 Mafia",
s0447,"STAYING ALIVE","DJ Khaled",Drake
s0644,"Still D.R.E.","Dr. Dre",
s0438,"Still D.R.E. - Instrumental","Dr. Dre",
s0879,"Still Fly","Big Tymers",
s0720,"Still Here",Drake,
s0304,"Still Tippin","Elvis Crespo",Limi-T-21
s0878,"Stone Love",Pepper,
s0866,Stranglehold,"Ted Nugent",
s0896,Sufriendo,MYLØ,"Zafra Negra"
s0865,"Suga Suga",Ba,
s0530,"Summer of '69","Bryan Adams",
s0881,Sunrise,"Morgan Wallen",
s0088,Sunset,"Kid Ink",
s0624,"Super Hero","Metro Boomin",
s0391,Superhero,"Chris Brown",Future
s0049,"Superhero (Heroes & Villains)","Metro Boomin",Future
s0194,"Superhero (Heros & Villains)","Metro Boomin",Future
s0678,Superstition,"Stevie Wonder",
s0325,"Surf Swag","Lil Wayne",
s0265,"Surround Sound",Jid,"21 Savage"
s0429,"Survival of the Fittest","Mobb Deep",
s0043,"Swag Surfin'",F.L.Y,
s0454,"Sweet Child O' Mine","Guns N' Roses",
s0284,"Sweet Emotion",Aerosmith,
s0547,"Sweet Home Alabama","Lynyrd Skynyrd",
s0819,"Take It Easy",Eagles,
s0009,"Take it Outside","Brantley Gilbert",
s0006,TaKillYa,"Vinnie Maniscalco",
s0242,"Tamo' Locos",Zaider,"Young Rony"
s0529,"Tarzan Boy",Baltimora,
s0704,Tata,"Eladio Carrión","J Balvin"
s0508,"Te Siento En Para","Liro Shaq","Ceky Viciny"
s0270,"Tengo Amigos",Instkrox,
s0422,"Tengo Mas","El Philippe",
s0247,"Tequila Shots","Kid Cudi",
s0318,Texas,BigXthaPlug,
s0158,"Thank You Hashem (DJ Niso Slob Remix)","Thank You Hashem",
s0659,"That's it",Future,"Lil Uzi Vert"
s0627,"That's Life","Frank Sinatra",
s0738,"The Chain","Fleetwood Mac",
s0444,"The Devil is a Lie","Rick Ross","Jay Z"
s0577,"The End",NOAX,
s0480,"The Four Horsemen",Metallica,
s0761,"The Godfather Waltz","Nino Rota",
s0859,"The Hills","The Weeknd",
s0730,"The Imperial March","John Williams",
s0326,"The Joker and The Thief",Wolfmother,
s0138,"The Mountain","Dierks Bentley",
s0740,"The One","Lovd Ones",
s0520,"The Outsiders","Eric Church",
s0558,"The Rev3nge","Joey Bada$$",
s0556,"The Scotts","Travis Scott",
s0822,"The Search",NF,
s0476,"The Show Goes On","Lupe Fiasco",
s0481,"The Spirit Of Radio",Rush,
s0683,"The Stroke","Billy Squire",
s0074,"The Sweet Escape","Gwen Stefani",Akon
s0333,"The Waltz","Left Lane Cruiser",
s0771,"The Way You Move",Outkast,
s0617,"The Well","Marcus King",
s0387,"The World Is Yours",Nas,
s0719,Thief,Ookay,
s0033,"This is the Way I Live","Baby Boy da Prince",
s0515,Throwback,B.O.B.,
s0846,"Thunderkiss '65","White Zombie",
s0017,Thunderstruck,AC/DC,
s0906,"Tick Tick Boom","Sage The Gemini",BygTwo3
s0551,"Till I Collapse",Eminem,"Nate Dogg"
s0616,Time,"Pink Floyd",
s0035,"Time of Day","Turnpike Troubadours",
s0128,"Tití Me Preguntó","Bad Bunny",
s0601,"Todo Esta Ok","Fixty Ordara y Ja Rulay",
s0320,"Tontoron Tonton","El Alfa",
s0389,Too,Thraxxx,
s0676,"Too Many Nights","Metro Boomin",
s0631,"Top Drops","Fat Pat",
s0847,"Tops Drop","Fat Pat",
s0169,"Toy Burlao","El Chulo",
s0793,Trance,"Metro Boomin","Travis Scott"
s0354,Transportin',Kodak,
s0253,"Trap Paris (Clean)","Machine Gun Kelly",
s0892,Tsunami,DVBBS,
s0518,"Tu Me Quemas","Chino y Nacho",
s0206,"Tuesday's Gone","Lynyrd Skynard",
s0016,Tweezer-Reprise,Phish,
s0552,"Type of Way","Rich Homie Quan",
s0372,"UNAPOLOGETICALLY COUNTRY AS HELL",HARDY,
s0257,"Under the Sun",Dreamville,
s0489,Unified,"Unified Highway",
s0907,"Use This Gospel","Kanye West",Clipse
s0848,"Used To",Drake,
s0146,"Uva Bombom","Rochy RD","El Chuky De Lewa"
s0042,Vacation,"Dirty Heads",
s0574,"Vale la Pena","Juan Luis Guerra 4.40",
s0702,Vampire,"Tribal Seeds","Whiteboy John"
s0762,"Ve Por Tu Suevo","Lilly Goodman",
s0885,"Ven Espíritu Santo",Barak,
s0790,Versace,Migos,
s0405,"Victory Lap","Nipsey Hussle","Stacy Barthe"
s0156,"Volver Volver","Vicente Fernández",
s0324,"Voodoo Child","Jimi Hendrix",
s0513,"Voy a ser Grande","El Jeffrey",
s0357,"Waiting for the Thunder","Blackberry Smoke",
s0717,"Wake Me Up Before You Go",Wham,
s0525,"Wake Up","Rage Against the Machine",
s0506,Walk,"Kodak Back",
s0307,"Walk Thru","Rich Homie Quan",
s0148,"Waves (Clean Version)","Kanye West",
s0887,"We Are Young",fun.,"Janelle Monáe"
s0179,"We Will Rock You","DJ's From Mars",
s0643,"Welcome to the Jungle","Guns N' Roses",
s0406,"Welcome To The Party",Diplo,Zhavia
s0366,"Welcome To The Show","Cody Johnson",
s0903,"What I Can't Put Down","Jon Pardi",
s0277,"What Is Love (7´´ Mix)",Haddaway,
s0494,"What Makes You Country","Luke Bryan",
s0587,"What You Know",T.I.,
s0565,"What's Beef","Biggie Smalls",
s0752,"When the Levee Breaks","Led Zeppelin",
s0813,"Where I Belong","Building 429",
s0488,"Wherever I May Roam",Metallica,
s0215,"White Tiger (Cat Carpenter Remix)","Izzy Bizu",
s0296,"White Tiger (Cat Carpenters Remix)","Izzy Bizu",
s0079,"Who I Am","Ben Fuller",
s0037,"Who You Foolin",Gunna,
s0120,"WHO? WHAT!","Travis Scott",
s0562,"Who? What?","Travis Scott",
s0350,"Whole Lotta Love","Led Zeppelin",
s0713,"Wild Trip",Denm,"Landon McNamara"
s0113,"Wipe Me Down","Boosie Badazz",Foxx
s0831,Work,"Gang Starr",
s0672,"WWE: Here Comes the Money","Shane McMahon",
s0583,Ya'meen,"Method Man",
s0685,"Yandel 150",Yandel,Feid
s0791,"Yep Dat's Me","Jamie Foxx",Ludacris
s0622,"Yes Indeed",Drake,"Lil Ba"
s0276,Yikes,"Kanye West",
s0383,"Yo Sé Que Dios Me Tiene A Mi Lo Mio","Pena Suazo",
s0814,"Yo Voy",Zion,
s0361,"You Can't Imagine","Hippie Sabotage",
s0510,"You Got It","Trip Lee",
s0246,"Your Love","The Outfield",
s0458,Yungen,"Jack Harlow","Rod Wave"
s0870,"Yungen (Clean)","Rod Wave","Jack Harlow"
s0479,Zoom,"Boosie Badazz","Yung Joc"
